"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file"
"v866_D_monthly_full_201907_20260620_033821_case0182","monthly_full","D","v8.66","v8.66 conservative case0401","201907","2019.07.01","2019.07.31","completed","379.36","1.43","3916.93","17.61","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201907\v866_D_monthly_full_201907_20260620_033821_case0182\v866_D_monthly_full_201907_20260620_033821_case0182.htm","E:\CODEXMACD\HCSJ\set\v8.66\201907\v866_D_monthly_full_201907_20260620_033821_case0182.set"
"v86_A_monthly_full_201908_20260620_033821_case0183","monthly_full","A","v8.6","v8.6 robust case0502","201908","2019.08.01","2019.08.31","completed","-1650.07","0.60","4368.25","19.23","6","16.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201908\v86_A_monthly_full_201908_20260620_033821_case0183\v86_A_monthly_full_201908_20260620_033821_case0183.htm","E:\CODEXMACD\HCSJ\set\v8.6\201908\v86_A_monthly_full_201908_20260620_033821_case0183.set"
"v866_D_monthly_full_201908_20260620_033821_case0184","monthly_full","D","v8.66","v8.66 conservative case0401","201908","2019.08.01","2019.08.31","completed","-758.97","0.72","2782.63","13.91","5","20.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201908\v866_D_monthly_full_201908_20260620_033821_case0184\v866_D_monthly_full_201908_20260620_033821_case0184.htm","E:\CODEXMACD\HCSJ\set\v8.66\201908\v866_D_monthly_full_201908_20260620_033821_case0184.set"
"v86_A_monthly_full_201909_20260620_033821_case0185","monthly_full","A","v8.6","v8.6 robust case0502","201909","2019.09.01","2019.09.30","completed","-1047.99","0.00","3411.30","15.25","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201909\v86_A_monthly_full_201909_20260620_033821_case0185\v86_A_monthly_full_201909_20260620_033821_case0185.htm","E:\CODEXMACD\HCSJ\set\v8.6\201909\v86_A_monthly_full_201909_20260620_033821_case0185.set"
"v866_D_monthly_full_201909_20260620_033821_case0186","monthly_full","D","v8.66","v8.66 conservative case0401","201909","2019.09.01","2019.09.30","completed","-895.80","0.00","2723.10","12.48","1","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201909\v866_D_monthly_full_201909_20260620_033821_case0186\v866_D_monthly_full_201909_20260620_033821_case0186.htm","E:\CODEXMACD\HCSJ\set\v8.66\201909\v866_D_monthly_full_201909_20260620_033821_case0186.set"
"v86_A_monthly_full_201910_20260620_033821_case0187","monthly_full","A","v8.6","v8.6 robust case0502","201910","2019.10.01","2019.10.31","completed","-1997.37","0.00","3517.80","16.49","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201910\v86_A_monthly_full_201910_20260620_033821_case0187\v86_A_monthly_full_201910_20260620_033821_case0187.htm","E:\CODEXMACD\HCSJ\set\v8.6\201910\v86_A_monthly_full_201910_20260620_033821_case0187.set"
"v866_D_monthly_full_201910_20260620_033821_case0188","monthly_full","D","v8.66","v8.66 conservative case0401","201910","2019.10.01","2019.10.31","completed","-1726.02","0.00","2905.25","13.81","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201910\v866_D_monthly_full_201910_20260620_033821_case0188\v866_D_monthly_full_201910_20260620_033821_case0188.htm","E:\CODEXMACD\HCSJ\set\v8.66\201910\v866_D_monthly_full_201910_20260620_033821_case0188.set"
"v86_A_monthly_full_201911_20260620_033821_case0189","monthly_full","A","v8.6","v8.6 robust case0502","201911","2019.11.01","2019.11.30","completed","-887.75","0.11","2007.67","9.77","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201911\v86_A_monthly_full_201911_20260620_033821_case0189\v86_A_monthly_full_201911_20260620_033821_case0189.htm","E:\CODEXMACD\HCSJ\set\v8.6\201911\v86_A_monthly_full_201911_20260620_033821_case0189.set"
"v866_D_monthly_full_201911_20260620_033821_case0190","monthly_full","D","v8.66","v8.66 conservative case0401","201911","2019.11.01","2019.11.30","completed","-767.58","0.10","1633.54","8.00","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201911\v866_D_monthly_full_201911_20260620_033821_case0190\v866_D_monthly_full_201911_20260620_033821_case0190.htm","E:\CODEXMACD\HCSJ\set\v8.66\201911\v866_D_monthly_full_201911_20260620_033821_case0190.set"
"v86_A_monthly_full_201912_20260620_033821_case0191","monthly_full","A","v8.6","v8.6 robust case0502","201912","2019.12.01","2019.12.31","completed","205.02","1.81","1144.75","5.53","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201912\v86_A_monthly_full_201912_20260620_033821_case0191\v86_A_monthly_full_201912_20260620_033821_case0191.htm","E:\CODEXMACD\HCSJ\set\v8.6\201912\v86_A_monthly_full_201912_20260620_033821_case0191.set"
"v866_D_monthly_full_201912_20260620_033821_case0192","monthly_full","D","v8.66","v8.66 conservative case0401","201912","2019.12.01","2019.12.31","completed","159.26","1.81","888.25","4.33","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201912\v866_D_monthly_full_201912_20260620_033821_case0192\v866_D_monthly_full_201912_20260620_033821_case0192.htm","E:\CODEXMACD\HCSJ\set\v8.66\201912\v866_D_monthly_full_201912_20260620_033821_case0192.set"
"v86_A_monthly_full_202001_20260620_033821_case0193","monthly_full","A","v8.6","v8.6 robust case0502","202001","2020.01.01","2020.01.31","completed","5755.60","0.00","4733.14","17.54","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\202001\v86_A_monthly_full_202001_20260620_033821_case0193\v86_A_monthly_full_202001_20260620_033821_case0193.htm","E:\CODEXMACD\HCSJ\set\v8.6\202001\v86_A_monthly_full_202001_20260620_033821_case0193.set"
"v866_D_monthly_full_202001_20260620_033821_case0194","monthly_full","D","v8.66","v8.66 conservative case0401","202001","2020.01.01","2020.01.31","completed","2034.81","0.00","8756.79","30.48","1","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\202001\v866_D_monthly_full_202001_20260620_033821_case0194\v866_D_monthly_full_202001_20260620_033821_case0194.htm","E:\CODEXMACD\HCSJ\set\v8.66\202001\v866_D_monthly_full_202001_20260620_033821_case0194.set"
"v86_A_monthly_full_202002_20260620_033821_case0195","monthly_full","A","v8.6","v8.6 robust case0502","202002","2020.02.01","2020.02.29","completed","11873.16","0.00","4658.40","12.75","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\202002\v86_A_monthly_full_202002_20260620_033821_case0195\v86_A_monthly_full_202002_20260620_033821_case0195.htm","E:\CODEXMACD\HCSJ\set\v8.6\202002\v86_A_monthly_full_202002_20260620_033821_case0195.set"
"v866_D_monthly_full_202002_20260620_033821_case0196","monthly_full","D","v8.66","v8.66 conservative case0401","202002","2020.02.01","2020.02.29","completed","8903.86","0.00","3839.49","11.73","2","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\202002\v866_D_monthly_full_202002_20260620_033821_case0196\v866_D_monthly_full_202002_20260620_033821_case0196.htm","E:\CODEXMACD\HCSJ\set\v8.66\202002\v866_D_monthly_full_202002_20260620_033821_case0196.set"
"v86_A_monthly_full_202003_20260620_033821_case0197","monthly_full","A","v8.6","v8.6 robust case0502","202003","2020.03.01","2020.03.31","completed","1542.96","0.00","911.20","4.19","1","100.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\202003\v86_A_monthly_full_202003_20260620_033821_case0197\v86_A_monthly_full_202003_20260620_033821_case0197.htm","E:\CODEXMACD\HCSJ\set\v8.6\202003\v86_A_monthly_full_202003_20260620_033821_case0197.set"
