2024.05.27 05:24 | 平仓: 买入 | 订单: 384 | 盈亏: 2.90 | 原因: 应急仓位盈利目标平仓
2024.05.27 11:17 | 平仓: 买入 | 订单: 387 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.27 11:33 | 平仓: 买入 | 订单: 388 | 盈亏: 2.84 | 原因: 应急仓位盈利目标平仓
2024.05.28 04:35 | 平仓: 买入 | 订单: 393 | 盈亏: 2.78 | 原因: 应急仓位盈利目标平仓
2024.05.28 04:35 | 平仓: 买入 | 订单: 392 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.28 15:24 | 平仓: 买入 | 订单: 395 | 盈亏: 3.40 | 原因: 应急仓位盈利目标平仓
2024.05.28 15:24 | 平仓: 买入 | 订单: 394 | 盈亏: 3.18 | 原因: 应急仓位盈利目标平仓
2024.05.28 17:51 | 平仓: 买入 | 订单: 398 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.05.28 17:51 | 平仓: 买入 | 订单: 397 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.28 18:42 | 平仓: 买入 | 订单: 400 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.28 18:42 | 平仓: 买入 | 订单: 399 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.05.29 05:11 | 平仓: 买入 | 订单: 402 | 盈亏: 2.72 | 原因: 应急仓位盈利目标平仓
2024.05.29 05:11 | 平仓: 买入 | 订单: 401 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.05.29 05:32 | 平仓: 买入 | 订单: 404 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.29 05:32 | 平仓: 买入 | 订单: 403 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.05.29 14:53 | 平仓: 买入 | 订单: 405 | 盈亏: -40.12 | 原因: 应急仓位止损平仓
2024.05.29 14:53 | 平仓: 买入 | 订单: 406 | 盈亏: -40.24 | 原因: 应急仓位止损平仓
