Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,EMA_MA5,EMA_MA20,EMA_MA60,EMA_MA250,ADX,Plus_DI,Minus_DI,BB_Mid,BB_Upper,BB_Lower,BB_Width,RSI,OBV,OBV_MA20,Volume_MA20,Volume_Ratio,MACD,MACD_Signal,MACD_Hist,Year,Month,Daily_Return,Weekly_Return,Monthly_Return,Volatility_30d
2024-06-17 00:00:00+00:00,66636.515625,67188.3203125,65094.96484375,66490.296875,30006354476,0.0,0.0,67485.10061786328,67601.88979254503,66417.5671875,68278.762890625,,,24.151929903168654,16.171788438996767,24.387269085184013,68278.762890625,71371.4062086323,65186.1195726177,0.0905887332188888,44.820629869039955,-134269302731.0,-81116997419.1,25295264003.4,1.1862439732578702,-116.78917468174768,387.696897041633,-504.4860717233807,2024,6,-0.0022321747830370553,-0.043474107318266175,-0.006729943187912202,0.37868225999483485
2024-06-18 00:00:00+00:00,66490.9765625,66556.703125,64066.95703125,65140.74609375,39481285950,0.0,0.0,67124.43069107662,67419.58285189355,66094.43671875,68156.8955078125,,,24.40184121577177,14.696214696458117,25.929506121053926,68156.8955078125,71543.87620895082,64769.914806674176,0.09938776336284537,39.70773106820686,-173750588681.0,-83845179560.5,25933974655.6,1.5223769774709288,-295.1521608169278,251.12708546992087,-546.2792462868487,2024,6,-0.02029695827328193,-0.03254446829494695,-0.01716428967737993,0.3837929563926179
2024-06-19 00:00:00+00:00,65146.66015625,65695.3515625,64693.30078125,64960.296875,21103423504,0.0,0.0,66791.48702706484,67237.4135202718,65884.27734375,67986.6607421875,,,24.63390172033181,14.137122732154191,24.943063094051567,67986.6607421875,71659.76706746014,64313.55441691485,0.10805373539969694,39.06602096234682,-194854012185.0,-89104018503.8,25513660204.1,0.8271421401390585,-445.92649320696364,111.71636973454397,-557.6428629415076,2024,6,-0.0027701435671353414,-0.04807786536539971,-0.09080563069680403,0.25940899036210063
2024-06-20 00:00:00+00:00,64960.296875,66438.9609375,64547.84765625,64828.65625,25641109124,0.0,0.0,66489.51306136255,67058.98705580723,65611.80859375,67853.5228515625,,,24.191245025776112,15.944598779202632,23.152888307337722,67853.5228515625,71786.0814670492,63920.96423607581,0.11591317444459368,38.57623842478691,-220495121309.0,-94275548714.85,25426351471.85,1.0084462630192053,-569.4739944446774,-24.521703101300304,-544.952291343377,2024,6,-0.00202647819256907,-0.028877264691036797,-0.07567917753274978,0.2534889470714367
2024-06-21 00:00:00+00:00,64837.98828125,65007.546875,63378.89453125,64096.19921875,26188171739,0.0,0.0,66121.31093172985,66839.52129009929,65103.2390625,67672.9859375,,,24.41459997580141,14.949496450548,26.187347703578435,67672.9859375,71950.29335602612,63395.67851897388,0.1264110740577182,35.88072079150278,-246683293048.0,-101338562293.05,26153685278.6,1.001318608067377,-718.2103583694407,-163.25943415492839,-554.9509242145123,2024,6,-0.011298352821403679,-0.029008677518693626,-0.07271364097553945,0.25185125908370415
2024-06-22 00:00:00+00:00,64113.86328125,64475.46875,63929.7578125,64252.578125,9858198793,0.0,0.0,65833.81357684833,66647.89587046231,64655.6953125,67498.034765625,,,24.6220010008249,14.620244960210776,25.610590935355226,67498.034765625,72039.8592311954,62956.21030005458,0.1345764948962171,36.89456165092479,-236825094255.0,-108764195352.35,25791065797.5,0.38223309073003037,-814.0822936139739,-293.42400604673753,-520.6582875672364,2024,6,0.0024397531859308152,-0.02928527858772345,-0.054129369300737085,0.24657190439258508
2024-06-23 00:00:00+00:00,64248.96484375,64491.703125,63180.796875,63180.796875,11170471802,0.0,0.0,65425.65716117936,66391.07372265028,64263.70546875,67216.835546875,,,25.20321179318983,13.832139726645748,27.309811975144743,67216.835546875,72101.46884407543,62332.20224967456,0.14533957921283083,33.03873710397002,-247995566057.0,-118368416267.95,24729525121.4,0.4517058757563239,-965.41656147092,-427.82251713157405,-537.5940443393459,2024,6,-0.01668075089399379,-0.051895250039918905,-0.07800392209127427,0.24883949480845238
2024-06-24 00:00:00+00:00,63173.3515625,63292.52734375,58601.69921875,60277.4140625,43152133651,0.0,0.0,64633.61976138254,65938.21004412063,63327.12890625,66702.31796875,,,27.328605033965257,11.453038809597157,39.402701029387934,66702.31796875,72226.7245434805,61177.911394019495,0.16564361608298775,25.31924823220004,-291147699708.0,-131787728693.35,25229646976.7,1.7103740567932526,-1304.590282738085,-603.1760702528763,-701.4142124852087,2024,6,-0.04595356431233677,-0.09344044326016554,-0.1297684050863288,0.28624643473793326
2024-06-25 00:00:00+00:00,60266.28125,62258.26171875,60239.75,61804.640625,29201215431,0.0,0.0,64198.392201939074,65632.01971677836,62722.32578125,66238.408984375,,,29.302184471828152,10.60755512300203,36.49392358770002,66238.408984375,71772.22435569079,60704.593613059194,0.1670878107178321,34.04843993514392,-261946484277.0,-145387518917.65,25049169177.8,1.165755846979539,-1433.6275148392888,-769.2663591701589,-664.3611556691299,2024,6,0.025336630415439876,-0.05121380501151618,-0.09798073410353747,0.3034904759268746
2024-06-26 00:00:00+00:00,61789.67578125,62434.13671875,60695.1875,60811.27734375,22506003064,0.0,0.0,63677.297608371526,65274.92768914663,62065.34140625,65741.1146484375,,,30.974375232979497,10.57590993047791,34.15468211137041,65741.1146484375,71352.16318419707,60130.06611267795,0.170701350768561,31.47167651922409,-284452487341.0,-158851451694.8,24913311730.65,0.9033725948329715,-1597.6300807751031,-934.9391034911479,-662.6909772839552,2024,6,-0.016072632592061153,-0.06387008266347305,-0.12368805279322737,0.3009070182363644
